"SUCC";"PRED"
"Valencian Community";"Spain"
"Catalonia";"Spain"
"Community of Madrid";"Spain"
"Andalusia";"Spain"
"Castilla-La Mancha";"Spain"
"L'Occitanie";"France"
"Ile-de-la-France";"France"
"Nouvelle-Aquitaine";"France"
"Pays de la Loire";"France"
"Grand Est";"France"
"England";"UK"
"Scotland";"UK"
"Wales";"UK"
"North Ireland";"UK"
"Alicante";"Valencian Community"
"Barcelona";"Catalonia"
"Madrid";"Community of Madrid"
"Malaga";"Andalusia"
"Toledo";"Castilla-La Mancha"
"Toulouse";"L'Occitanie"
"Paris";"Ile-de-la-France"
"Bordeaux";"Nouvelle-Aquitaine"
"Nantes";"Pays de la Loire"
"Strassbourg";"Grand Est"
"City of London";"England"
"Birmingham";"England"
"Leeds";"England"
"Glasgow";"Scotland"
"Sheffield";"England"
"Bradford";"England"
"Edinburgh";"Scotland"
"Liverpool";"England"
"Manchester";"England"
"Bristol";"England"
"Wakefield";"England"
"Cardiff";"Wales"
"Coventry";"England"
"Nottingham";"England"
"Belfast";"North Ireland"
"Leicester";"England"
"Sunderland";"England"
"Newcastle upon Tyne";"England"
"Brighton and Hove";"England"
"Kingston upon Hull";"England"
"Plymouth";"England"
"Stoke-on-Trent";"England"
"Wolverhampton";"England"
"Derby";"England"
"Swansea";"Wales"
"Southampton";"England"
"Aberdeen";"Scotland"
"Salford";"England"
"Westminster";"England"
"Portsmouth";"England"
"York";"England"
"Peterborough";"England"
"Dundee";"Scotland"
"Lancaster";"England"
"Newport";"Wales"
"Oxford";"England"
"Preston";"England"
"St. Albans";"England"
"Norwich";"England"
"Chester";"England"
"Cambridge";"England"
"Salisbury";"England"
"Exeter";"England"
"Gloucester";"England"
"Lisburn";"North Ireland"
"Chichester";"England"
"Winchester";"England"
"Londonderry";"North Ireland"
"Carlisle";"England"
"Worcester";"England"
"Bath";"England"
"Durham";"England"
"Lincoln";"England"
"Armagh";"North Ireland"
"Hereford";"England"
"Inverness";"Scotland"
"Stirling";"Scotland"
"Canterbury";"England"
"Lichfield";"England"
"Newry";"North Ireland"
"Ripon";"England"
"Bangor";"Wales"
"Truro";"England"
"Ely";"England"
"Wells";"England"
"St. Davids";"Wales"
"Spain";NULL
"France";NULL
"UK";NULL
