ID, STARTLOCATION,STARTREGION,AGGREGATEDTYPE,MONEYEARNED,DISTANCE,startDayOfWeek,CHARITYNAME,EMISSIONSSAVED,STARTTIME
409,"Leeds","England","Run","0.01",0,"TUESDAY","Viva con Agua",29.313216932407254,15
10674,"City of London","England","Run","0.26",5,"WEDNESDAY","Tafel Deutschland",552.9621561679622,15
4038,"Bradford","England","Run","0.20",4,"FRIDAY","Tafel Deutschland",444.0871431571,13
462,"Bristol","England","Run","0.02",0,"SATURDAY","Viva con Agua",46.19139673145897,11
10675,"City of London","England","Run","0.26",5,"WEDNESDAY","Viva con Agua",540.1205993702761,17
4058,"Birmingham","England","Run","0.19",4,"THURSDAY","Tafel Deutschland",405.0759115950912,19
505,"Leeds","England","Run","0.02",0,"TUESDAY","Viva con Agua",38.63526006991293,7
10677,"City of London","England","Run","0.25",5,"THURSDAY","Viva con Agua",530.6387291985797,16
4065,"Gloucester","England","Run","0.20",4,"SUNDAY","Tafel Deutschland",444.68107207583427,11
10723,"Southampton","England","Run","0.27",5,"TUESDAY","Viva con Agua",569.6408107572953,16
543,"City of London","England","Run","0.02",0,"THURSDAY","Viva con Agua",49.223390827881225,14
4074,"Truro","England","Run","0.19",4,"SATURDAY","Die Arche",408.67339261953293,13
10724,"Southampton","England","Run","0.27",5,"SUNDAY","Viva con Agua",568.2723842293394,15
549,"Liverpool","England","Run","0.02",0,"TUESDAY","Viva con Agua",36.506820802190646,11
4093,"Worcester","England","Run","0.20",4,"THURSDAY","Tafel Deutschland",426.4375111114698,18
10725,"Southampton","England","Run","0.27",5,"TUESDAY","Viva con Agua",564.6672455034695,16
656,"City of London","England","Run","0.01",0,"TUESDAY","Viva con Agua",26.059138286489816,5
4094,"Worcester","England","Run","0.20",4,"MONDAY","Die Arche",431.43831650080074,16
10726,"Southampton","England","Run","0.27",5,"WEDNESDAY","Viva con Agua",569.4824248921348,15
657,"City of London","England","Run","0.02",0,"THURSDAY","Viva con Agua",43.734757207288645,5
4122,"Bradford","England","Run","0.20",4,"WEDNESDAY","Tafel Deutschland",435.89853344532764,17
10728,"Southampton","England","Run","0.27",5,"WEDNESDAY","Viva con Agua",568.803290389206,16
678,"Canterbury","England","Run","0.02",0,"MONDAY","Viva con Agua",45.92321016227772,10
4123,"Bradford","England","Run","0.22",4,"WEDNESDAY","Tafel Deutschland",453.3868095128151,17
795,"Leeds","England","Run","0.01",0,"SATURDAY","Viva con Agua",22.62383036003097,8
10754,"Hereford","England","Run","0.23",5,"SATURDAY","Die Arche",481.44564805644353,4
4131,"Stoke-on-Trent","England","Run","0.19",4,"FRIDAY","Die Arche",396.3565083338348,14
796,"Wolverhampton","England","Run","0.02",0,"THURSDAY","Viva con Agua",51.609641137747396,17
10757,"Leeds","England","Run","0.26",5,"SATURDAY","Viva con Agua",555.0973480945611,7
4144,"Liverpool","England","Run","0.20",4,"MONDAY","Tafel Deutschland",444.07324283745425,16
